,1103
2007-05-13,0
2007-05-20,0
2007-05-27,0
2007-06-03,78
2007-06-10,0
2007-06-17,0
2007-06-24,0
2007-07-01,0
2007-07-08,0
2007-07-15,0
2007-07-22,0
2007-07-29,0
2007-08-05,0
2007-08-12,0
2007-08-19,0
2007-08-26,0
2007-09-02,0
2007-09-09,0
2007-09-16,0
2007-09-23,0
2007-09-30,0
2007-10-07,0
2007-10-14,0
2007-10-21,0
2007-10-28,72
2007-11-04,0
2007-11-11,0
2007-11-18,0
2007-11-25,0
2007-12-02,70
2007-12-09,0
2007-12-16,0
2007-12-23,0
2007-12-30,77
2008-01-06,0
2008-01-13,0
2008-01-20,0
2008-01-27,0
2008-02-03,0
2008-02-10,0
2008-02-17,0
2008-02-24,0
2008-03-02,0
2008-03-09,0
2008-03-16,0
2008-03-23,0
2008-03-30,0
2008-04-06,0
2008-04-13,0
2008-04-20,0
2008-04-27,0
2008-05-04,0
2008-05-11,0
2008-05-18,0
2008-05-25,0
2008-06-01,0
2008-06-08,0
2008-06-15,0
2008-06-22,0
2008-06-29,0
2008-07-06,0
2008-07-13,0
2008-07-20,0
2008-07-27,0
2008-08-03,0
2008-08-10,0
2008-08-17,100
2008-08-24,0
2008-08-31,0
2008-09-07,0
2008-09-14,0
2008-09-21,0
2008-09-28,0
2008-10-05,0
2008-10-12,0
2008-10-19,0
2008-10-26,81
2008-11-02,94
2008-11-09,0
2008-11-16,0
2008-11-23,0
2008-11-30,0
2008-12-07,0
2008-12-14,0
2008-12-21,92
2008-12-28,0
2009-01-04,0
2009-01-11,100
2009-01-18,0
2009-01-25,0
2009-02-01,0
2009-02-08,0
2009-02-15,0
2009-02-22,0
2009-03-01,0
2009-03-08,0
2009-03-15,0
2009-03-22,0
2009-03-29,0
2009-04-05,0
2009-04-12,0
2009-04-19,0
2009-04-26,0
2009-05-03,0
2009-05-10,0
2009-05-17,0
2009-05-24,0
2009-05-31,0
2009-06-07,0
2009-06-14,0
2009-06-21,0
2009-06-28,0
2009-07-05,0
2009-07-12,0
2009-07-19,0
2009-07-26,0
2009-08-02,0
2009-08-09,0
2009-08-16,0
2009-08-23,0
2009-08-30,0
2009-09-06,0
2009-09-13,0
2009-09-20,85
2009-09-27,0
2009-10-04,0
2009-10-11,84
2009-10-18,0
2009-10-25,0
2009-11-01,82
2009-11-08,0
2009-11-15,0
2009-11-22,0
2009-11-29,82
2009-12-06,0
2009-12-13,0
2009-12-20,0
2009-12-27,0
2010-01-03,0
2010-01-10,0
2010-01-17,0
2010-01-24,0
2010-01-31,0
2010-02-07,0
2010-02-14,0
2010-02-21,0
2010-02-28,0
2010-03-07,0
2010-03-14,0
2010-03-21,0
2010-03-28,0
2010-04-04,0
2010-04-11,0
2010-04-18,0
2010-04-25,0
2010-05-02,0
2010-05-09,0
2010-05-16,0
2010-05-23,0
2010-05-30,0
2010-06-06,0
2010-06-13,61
2010-06-20,0
2010-06-27,0
2010-07-04,0
2010-07-11,0
2010-07-18,0
2010-07-25,0
2010-08-01,0
2010-08-08,0
2010-08-15,0
2010-08-22,0
2010-08-29,0
2010-09-05,0
2010-09-12,0
2010-09-19,0
2010-09-26,0
2010-10-03,0
2010-10-10,0
2010-10-17,100
2010-10-24,52
2010-10-31,0
2010-11-07,0
2010-11-14,0
2010-11-21,0
2010-11-28,0
2010-12-05,52
2010-12-12,0
2010-12-19,0
2010-12-26,0
2011-01-02,0
2011-01-09,0
2011-01-16,0
2011-01-23,52
2011-01-30,0
2011-02-06,96
2011-02-13,0
2011-02-20,92
2011-02-27,0
2011-03-06,0
2011-03-13,0
2011-03-20,0
2011-03-27,0
2011-04-03,0
2011-04-10,43
2011-04-17,0
2011-04-24,43
2011-05-01,0
2011-05-08,0
2011-05-15,0
2011-05-22,0
2011-05-29,42
2011-06-05,0
2011-06-12,0
2011-06-19,41
2011-06-26,0
2011-07-03,0
2011-07-10,0
2011-07-17,0
2011-07-24,0
2011-07-31,0
2011-08-07,38
2011-08-14,0
2011-08-21,0
2011-08-28,0
2011-09-04,0
2011-09-11,0
2011-09-18,0
2011-09-25,0
2011-10-02,68
2011-10-09,0
2011-10-16,34
2011-10-23,0
2011-10-30,100
2011-11-06,0
2011-11-13,0
2011-11-20,0
2011-11-27,0
2011-12-04,0
2011-12-11,0
2011-12-18,0
2011-12-25,0
2012-01-01,36
2012-01-08,36
2012-01-15,0
2012-01-22,0
2012-01-29,100
2012-02-05,0
2012-02-12,0
2012-02-19,0
2012-02-26,35
2012-03-04,0
2012-03-11,0
2012-03-18,0
2012-03-25,0
2012-04-01,0
2012-04-08,0
2012-04-15,62
2012-04-22,0
2012-04-29,0
2012-05-06,0
2012-05-13,0
2012-05-20,30
2012-05-27,0
2012-06-03,0
2012-06-10,29
2012-06-17,0
2012-06-24,0
2012-07-01,0
2012-07-08,30
2012-07-15,0
2012-07-22,0
2012-07-29,0
2012-08-05,0
2012-08-12,0
2012-08-19,0
2012-08-26,0
2012-09-02,0
2012-09-09,0
2012-09-16,28
2012-09-23,0
2012-09-30,27
2012-10-07,0
2012-10-14,0
2012-10-21,0
2012-10-28,25
2012-11-04,26
2012-11-11,0
2012-11-18,0
2012-11-25,0
2012-12-02,0
2012-12-09,0
2012-12-16,24
2012-12-23,0
2012-12-30,0
2013-01-06,56
2013-01-13,0
2013-01-20,0
2013-01-27,0
2013-02-03,0
2013-02-10,0
2013-02-17,52
2013-02-24,54
2013-03-03,0
2013-03-10,0
2013-03-17,0
2013-03-24,0
2013-03-31,0
2013-04-07,0
2013-04-14,100
2013-04-21,0
2013-04-28,0
2013-05-05,0
2013-05-12,0
2013-05-19,50
2013-05-26,0
2013-06-02,97
2013-06-09,0
2013-06-16,0
2013-06-23,48
2013-06-30,0
2013-07-07,92
2013-07-14,0
2013-07-21,0
2013-07-28,0
2013-08-04,0
2013-08-11,0
2013-08-18,0
2013-08-25,0
2013-09-01,0
2013-09-08,46
2013-09-15,0
2013-09-22,0
2013-09-29,0
2013-10-06,0
2013-10-13,0
2013-10-20,0
2013-10-27,0
2013-11-03,43
2013-11-10,0
2013-11-17,44
2013-11-24,0
2013-12-01,0
2013-12-08,43
2013-12-15,0
2013-12-22,0
2013-12-29,43
2014-01-05,0
2014-01-12,0
2014-01-19,50
2014-01-26,0
2014-02-02,0
2014-02-09,47
2014-02-16,46
2014-02-23,0
2014-03-02,91
2014-03-09,0
2014-03-16,46
2014-03-23,0
2014-03-30,0
2014-04-06,45
2014-04-13,0
2014-04-20,0
2014-04-27,45
2014-05-04,0
2014-05-11,0
2014-05-18,0
2014-05-25,0
2014-06-01,100
2014-06-08,0
2014-06-15,49
2014-06-22,0
2014-06-29,0
2014-07-06,0
2014-07-13,0
2014-07-20,0
2014-07-27,0
2014-08-03,0
2014-08-10,47
2014-08-17,0
2014-08-24,47
2014-08-31,0
2014-09-07,0
2014-09-14,0
2014-09-21,0
2014-09-28,0
2014-10-05,0
2014-10-12,0
2014-10-19,0
2014-10-26,0
2014-11-02,45
2014-11-09,0
2014-11-16,90
2014-11-23,44
2014-11-30,0
2014-12-07,0
2014-12-14,0
2014-12-21,0
2014-12-28,45
2015-01-04,38
2015-01-11,0
2015-01-18,0
2015-01-25,0
2015-02-01,0
2015-02-08,0
2015-02-15,0
2015-02-22,36
2015-03-01,0
2015-03-08,36
2015-03-15,70
2015-03-22,37
2015-03-29,0
2015-04-05,35
2015-04-12,0
2015-04-19,0
2015-04-26,35
2015-05-03,0
2015-05-10,34
2015-05-17,66
2015-05-24,0
2015-05-31,0
2015-06-07,0
2015-06-14,100
2015-06-21,0
2015-06-28,0
2015-07-05,0
2015-07-12,32
2015-07-19,0
2015-07-26,32
2015-08-02,0
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,32
2015-09-06,0
2015-09-13,0
2015-09-20,64
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,0
2015-10-25,30
2015-11-01,61
2015-11-08,31
2015-11-15,61
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,33
2016-01-03,0
2016-01-10,54
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,50
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,49
2016-05-01,0
2016-05-08,0
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,49
2016-06-12,0
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,50
2016-07-24,0
2016-07-31,100
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,48
2016-10-02,0
2016-10-09,100
2016-10-16,50
2016-10-23,0
2016-10-30,51
2016-11-06,0
2016-11-13,0
2016-11-20,48
2016-11-27,48
2016-12-04,0
2016-12-11,0
2016-12-18,47
2016-12-25,47
2017-01-01,0
2017-01-08,34
2017-01-15,36
2017-01-22,0
2017-01-29,71
2017-02-05,0
2017-02-12,0
2017-02-19,64
2017-02-26,64
2017-03-05,0
2017-03-12,92
2017-03-19,63
2017-03-26,0
2017-04-02,33
2017-04-09,0
2017-04-16,63
2017-04-23,64
2017-04-30,32
2017-05-07,0
2017-05-14,0
2017-05-21,67
2017-05-28,34
2017-06-04,0
2017-06-11,0
2017-06-18,32
2017-06-25,0
2017-07-02,34
2017-07-09,0
2017-07-16,33
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,0
2017-08-20,0
2017-08-27,33
2017-09-03,33
2017-09-10,0
2017-09-17,100
2017-09-24,0
2017-10-01,34
2017-10-08,33
2017-10-15,33
2017-10-22,0
2017-10-29,97
2017-11-05,0
2017-11-12,32
2017-11-19,32
2017-11-26,33
2017-12-03,66
2017-12-10,0
2017-12-17,67
2017-12-24,65
2017-12-31,0
2018-01-07,29
2018-01-14,0
2018-01-21,27
2018-01-28,0
2018-02-04,29
2018-02-11,0
2018-02-18,0
2018-02-25,26
2018-03-04,79
2018-03-11,26
2018-03-18,27
2018-03-25,26
2018-04-01,0
2018-04-08,0
2018-04-15,27
2018-04-22,26
2018-04-29,27
2018-05-06,26
2018-05-13,27
2018-05-20,0
2018-05-27,53
2018-06-03,0
2018-06-10,25
2018-06-17,100
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,0
2018-07-22,25
2018-07-29,51
2018-08-05,51
2018-08-12,25
2018-08-19,25
2018-08-26,0
2018-09-02,0
2018-09-09,52
2018-09-16,0
2018-09-23,27
2018-09-30,0
2018-10-07,0
2018-10-14,27
2018-10-21,27
2018-10-28,27
2018-11-04,53
2018-11-11,54
2018-11-18,0
2018-11-25,82
2018-12-02,0
2018-12-09,27
2018-12-16,27
2018-12-23,0
2018-12-30,28
2019-01-06,0
2019-01-13,0
2019-01-20,23
2019-01-27,0
2019-02-03,25
2019-02-10,0
2019-02-17,21
2019-02-24,0
2019-03-03,0
2019-03-10,44
2019-03-17,44
2019-03-24,0
2019-03-31,23
2019-04-07,22
2019-04-14,0
2019-04-21,22
2019-04-28,0
2019-05-05,21
2019-05-12,0
2019-05-19,42
2019-05-26,62
2019-06-02,0
2019-06-09,0
2019-06-16,0
2019-06-23,20
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,60
2019-08-18,20
2019-08-25,0
2019-09-01,41
2019-09-08,20
2019-09-15,100
2019-09-22,20
2019-09-29,19
2019-10-06,60
2019-10-13,20
2019-10-20,59
2019-10-27,39
2019-11-03,59
2019-11-10,39
2019-11-17,60
2019-11-24,39
2019-12-01,20
2019-12-08,0
2019-12-15,20
2019-12-22,20
2019-12-29,0
2020-01-05,14
2020-01-12,14
2020-01-19,32
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,28
2020-02-23,0
2020-03-01,0
2020-03-08,26
2020-03-15,13
2020-03-22,13
2020-03-29,27
2020-04-05,13
2020-04-12,0
2020-04-19,13
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,40
2020-05-24,13
2020-05-31,25
2020-06-07,13
2020-06-14,13
2020-06-21,14
2020-06-28,26
2020-07-05,0
2020-07-12,27
2020-07-19,27
2020-07-26,27
2020-08-02,0
2020-08-09,0
2020-08-16,27
2020-08-23,0
2020-08-30,0
2020-09-06,42
2020-09-13,14
2020-09-20,28
2020-09-27,15
2020-10-04,29
2020-10-11,0
2020-10-18,60
2020-10-25,30
2020-11-01,100
2020-11-08,15
2020-11-15,44
2020-11-22,30
2020-11-29,15
2020-12-06,0
2020-12-13,18
