M/D,2004,2005
01-01,77,0
01-02,42,0
01-03,0,25
01-04,0,0
01-05,0,0
01-06,65,0
01-07,79,0
01-08,0,100
01-09,0,67
01-10,0,0
01-11,0,0
01-12,0,26
01-13,0,25
01-14,46,28
01-15,47,0
01-16,50,0
01-17,0,27
01-18,0,26
01-19,0,25
01-20,0,0
01-21,0,0
01-22,0,0
01-23,0,0
01-24,0,0
01-25,0,0
01-26,0,0
01-27,0,0
01-28,0,0
01-29,41,0
01-30,43,0
01-31,0,0
02-01,0,27
02-02,81,0
02-03,40,0
02-04,42,0
02-05,42,0
02-06,0,50
02-07,0,0
02-08,0,0
02-09,0,0
02-10,0,0
02-11,44,0
02-12,0,0
02-13,0,0
02-14,0,0
02-15,0,0
02-16,41,25
02-17,0,24
02-18,38,0
02-19,78,0
02-20,0,0
02-21,0,0
02-22,0,0
02-23,0,25
02-24,80,25
02-25,41,0
02-26,41,0
02-27,43,0
02-28,0,0
02-29,0,NA
03-01,0,25
03-02,0,48
03-03,0,0
03-04,0,55
03-05,100,0
03-06,0,34
03-07,0,47
03-08,0,0
03-09,0,0
03-10,0,0
03-11,0,24
03-12,0,31
03-13,0,32
03-14,0,22
03-15,0,46
03-16,39,24
03-17,39,24
03-18,0,0
03-19,0,0
03-20,0,0
03-21,0,43
03-22,0,23
03-23,0,24
03-24,0,47
03-25,91,74
03-26,0,34
03-27,56,0
03-28,54,0
03-29,0,0
03-30,0,46
03-31,0,0
04-01,0,25
04-02,0,0
04-03,0,0
04-04,0,68
04-05,0,0
04-06,0,0
04-07,0,24
04-08,0,0
04-09,0,0
04-10,0,0
04-11,0,22
04-12,0,0
04-13,0,0
04-14,0,0
04-15,0,49
04-16,40,67
04-17,0,63
04-18,0,0
04-19,35,0
04-20,0,0
04-21,0,0
04-22,0,25
04-23,0,0
04-24,0,0
04-25,0,0
04-26,0,0
04-27,0,0
04-28,0,0
04-29,0,0
04-30,0,0
05-01,0,63
05-02,0,0
05-03,0,0
05-04,34,0
05-05,0,0
05-06,0,25
05-07,0,0
05-08,0,33
05-09,0,22
05-10,0,0
05-11,0,0
